date,value
1974-01-01,33137
1975-01-01,28595
1976-01-01,25065
1977-01-01,21307
1978-01-01,17320
1979-01-01,15033
1980-01-01,13791
1981-01-01,11241
1982-01-01,9706
1983-01-01,8758
1984-01-01,8072
1985-01-01,5425
1986-01-01,4118
1987-01-01,3464
1988-01-01,2941
1989-01-01,2745
1990-01-01,2614
1991-01-01,2582
1992-01-01,1536
1993-01-01,1471
1994-01-01,1405
1995-01-01,1569
1996-01-01,1601
1997-01-01,1765
1998-01-01,1699
1999-01-01,2059
2000-01-01,2451
2001-01-01,2613
2002-01-01,2614
2003-01-01,2843
2004-01-01,3301
2005-01-01,3529
2006-01-01,3791
2007-01-01,3954
2008-01-01,4020
2009-01-01,3987
2010-01-01,4085
2011-01-01,4216
2012-01-01,4346
2013-01-01,4444
2014-01-01,4641
